date,category,product_name,unit_price,quantity,total_amount
2026-04-01,HP,Vivo V30,4999000,1,4999000
2026-04-01,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-01,Elektronik Rumah,Kipas Angin Tornado,315000,3,945000
2026-04-01,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-01,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-02,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-02,Aksesoris,Tempered Glass,75000,1,75000
2026-04-02,Elektronik Rumah,Blender Multifungsi,389000,2,778000
2026-04-02,Aksesoris,Tempered Glass,75000,2,150000
2026-04-02,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-02,Aksesoris,Kabel USB-C 2m,89000,3,267000
2026-04-02,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-04-02,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-04-02,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-03,HP,Vivo V30,4999000,1,4999000
2026-04-03,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-03,HP,Vivo V30,4999000,1,4999000
2026-04-03,Aksesoris,Kabel USB-C 2m,89000,3,267000
2026-04-03,Aksesoris,Charger 65W GaN,349000,1,349000
2026-04-03,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-03,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-03,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-04,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-04,Elektronik Rumah,Setrika Uap,275000,2,550000
2026-04-04,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-04,Aksesoris,Tempered Glass,75000,1,75000
2026-04-04,Elektronik Rumah,Rice Cooker 1.8L,425000,3,1275000
2026-04-04,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-04,Aksesoris,Casing HP Premium,149000,3,447000
2026-04-04,Aksesoris,Casing HP Premium,149000,2,298000
2026-04-04,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-04,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-04-05,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-05,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-05,Aksesoris,Charger 65W GaN,349000,1,349000
2026-04-05,Aksesoris,Kabel USB-C 2m,89000,1,89000
2026-04-05,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-06,HP,iPhone 15,13999000,1,13999000
2026-04-06,HP,Vivo V30,4999000,1,4999000
2026-04-06,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-06,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-04-06,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-06,HP,Oppo Reno 11,5499000,1,5499000
2026-04-06,Aksesoris,Charger 65W GaN,349000,2,698000
2026-04-06,Elektronik Rumah,Smart TV 43 inch,4299000,2,8598000
2026-04-06,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-07,Elektronik Rumah,Smart TV 43 inch,4299000,3,12897000
2026-04-07,Elektronik Rumah,Blender Multifungsi,389000,1,389000
2026-04-07,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-07,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-07,Elektronik Rumah,Air Fryer 4L,899000,2,1798000
2026-04-07,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-04-07,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-07,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-07,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-04-07,Elektronik Rumah,Setrika Uap,275000,1,275000
2026-04-07,Aksesoris,Kabel USB-C 2m,89000,3,267000
2026-04-07,Aksesoris,Tempered Glass,75000,2,150000
2026-04-07,Aksesoris,Charger 65W GaN,349000,1,349000
2026-04-07,Aksesoris,TWS Earbuds X1,499000,1,499000
2026-04-07,Elektronik Rumah,Setrika Uap,275000,3,825000
2026-04-08,HP,iPhone 15,13999000,1,13999000
2026-04-08,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-08,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-08,Elektronik Rumah,Rice Cooker 1.8L,425000,3,1275000
2026-04-08,Aksesoris,Casing HP Premium,149000,2,298000
2026-04-08,HP,Oppo Reno 11,5499000,1,5499000
2026-04-08,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-08,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-08,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-04-08,Elektronik Rumah,Setrika Uap,275000,2,550000
2026-04-08,Elektronik Rumah,Kipas Angin Tornado,315000,3,945000
2026-04-09,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-04-09,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-09,Aksesoris,Tempered Glass,75000,3,225000
2026-04-09,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-09,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-10,Aksesoris,TWS Earbuds X1,499000,3,1497000
2026-04-10,Aksesoris,Kabel USB-C 2m,89000,2,178000
2026-04-10,Elektronik Rumah,Kipas Angin Tornado,315000,2,630000
2026-04-10,Aksesoris,TWS Earbuds X1,499000,3,1497000
2026-04-10,Aksesoris,Powerbank 10000mAh,299000,1,299000
2026-04-10,Elektronik Rumah,Smart TV 43 inch,4299000,2,8598000
2026-04-10,Elektronik Rumah,Kipas Angin Tornado,315000,1,315000
2026-04-10,Aksesoris,Powerbank 10000mAh,299000,3,897000
2026-04-10,Elektronik Rumah,Air Fryer 4L,899000,1,899000
2026-04-10,Aksesoris,Tempered Glass,75000,2,150000
2026-04-10,HP,Samsung Galaxy S24,12999000,1,12999000
2026-04-11,Elektronik Rumah,Setrika Uap,275000,3,825000
2026-04-11,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-11,HP,iPhone 15,13999000,1,13999000
2026-04-11,HP,Xiaomi Redmi Note 13,3499000,1,3499000
2026-04-11,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-04-11,HP,Samsung Galaxy A55,5999000,1,5999000
2026-04-11,Aksesoris,Casing HP Premium,149000,1,149000
2026-04-11,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-11,Aksesoris,Tempered Glass,75000,1,75000
2026-04-12,Elektronik Rumah,Smart TV 43 inch,4299000,1,4299000
2026-04-12,Elektronik Rumah,Rice Cooker 1.8L,425000,1,425000
2026-04-12,Elektronik Rumah,Blender Multifungsi,389000,1,389000
2026-04-12,Aksesoris,Tempered Glass,75000,2,150000
